Track Name,Artist,Album,Popularity,Duration (minutes)
Chennai City Gangsta,Anirudh Ravichander,Vanakkam Chennai (Original Motion Picture Soundtrack),54,4.292416666666667
"Vaadi Nee Va - From ""Meesaya Murukku""",Rajan Chelliah,"Vaadi Nee Va (From ""Meesaya Murukku"")",48,3.0841166666666666
"Private Party (From ""Don"")",Anirudh Ravichander,"Private Party (From ""Don"")",57,3.6129
Usure Pogudhey,A.R. Rahman,Raavanan (Original Motion Picture Soundtrack),67,6.108433333333333
Selfie Pulla,Anirudh Ravichander,Kaththi (Original Motion Picture Soundtrack),64,4.883333333333334
Yamma Yamma,Harris Jayaraj,7 Aum Arivu (Original Motion Picture Soundtrack),65,6.108433333333333
Anbae Peranbae,Sid Sriram,NGK (Original Motion Picture Soundtrack),66,4.488883333333333
Sara Sara Saara Kathu,Ghibran,Vaagai Sooda Vaa (Original Motion Picture Soundtrack),62,4.9808
En Jannal Vandha,Yuvan Shankar Raja,Theeratha Vilayaatu Pillai (Original Motion Picture Soundtrack),57,4.724666666666667
"Aadungada Enna Suthi (From ""Pokkiri"")",Naveen,Singer Special - Naveen,55,4.4351
"Srivalli (From ""Pushpa - The Rise"")(Tamil)",Devi Sri Prasad,"Srivalli (From ""Pushpa - The Rise"")(Tamil)",55,3.683333333333333
Kannadi Poovukku,Santhosh Dhayanidhi,Enakku Vaaitha Adimaigal (Original Motion Picture Soundtrack),59,3.98965
"Vasantha Mullai (From ""Pokkiri"")",Rahul Nambiar,Hits of Mani Sharma,43,4.255766666666666
"Im so cool (From ""Kaaki Sattai"")",Anirudh Ravichander,Kaaki Sattai (Original Motion Picture Soundtrack),55,3.82385
Sonapareeya,A.R. Rahman,Maryan (Original Motion Picture Soundtrack),59,4.154883333333333
Mun Andhi,Harris Jayaraj,7 Aum Arivu (Original Motion Picture Soundtrack),64,6.246
Excuse Me,Devi Sri Prasad,Kanthaswamy (Original Motion Picture Soundtrack),57,5.780216666666667
Vaaji Vaaji,Hariharan,Sivaji,49,5.78225
Idhayathai Yedho Ondru,Harris Jayaraj,Yennai Arindhaal (Original Motion Picture Soundtrack),62,3.9231833333333332
Senjitaley,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),66,4.188883333333333
"Un Paer Solla (From ""Minsara Kanna"")",Hariharan,Deva Melody Music Collection Vol-1,0,5.14035
Thanga Thamarai Magalae,S. P. Balasubrahmanyam,Minsara Kanavu (Original Motion Picture Soundtrack),0,5.044433333333333
"Oru Poiyavathu (From ""Jodi"")",Srinivas,Hits of A.R.Rahman Nenjame,56,7.0655
Enna Vilai,A.R. Rahman,Kadhalar Dhinam,0,5.920116666666667
"Kan Pesum Varthaigal (From ""7/G Rainbow Colony"")",Karthik,Play Back Singer Karthik Special,51,5.804833333333334
Sakarai Nilave,Nirthayan,Sakarai Nilave,0,5.7104333333333335
Hosanna,A.R. Rahman,Vinnaithaandi Varuvaayaa (Original Motion Picture Soundtrack),64,5.5091
Govinda,C. Sathya,Engeyum Eppodhum (Original Motion Picture Soundtrack),44,4.099766666666667
Arima Arima,A.R. Rahman,Enthiran (Original Motion Picture Soundtrack),58,5.3056833333333335
"En Kaadhale (From ""Duet"")",S. P. Balasubrahmanyam,SPB Evergreen Songs,0,5.9872
Ailasa Ailasa,Anirudh Ravichander,Vanakkam Chennai (Original Motion Picture Soundtrack),51,4.1011
Muzumathi,A.R. Rahman,Jodhaa Akbar (Tamil) [Original Motion Picture Soundtrack],63,5.20755
Yaar Intha,Haricharan,Boss n' Baskaran (Original Motion Picture Soundtrack),55,5.0727166666666665
Kanave Unai,Hanan Shaah,Kanave Unai,64,1.0447666666666666
Hasili Fisiliye,Harris Jayaraj,Aadhavan (Original Motion Picture Soundtrack),63,5.304433333333333
Muthu Mazhaiye,Devi Sri Prasad,Mazhai (Original Motion Picture Soundtrack),44,1.3882166666666667
Avalum Naanum,A.R. Rahman,Achcham Yenbadhu Madamaiyada (Original Motion Picture Soundtrack),57,4.246216666666666
Visiri,Darbuka Siva,Enai Noki Paayum Thota (Original Motion Picture Soundtrack),64,5.18545
Vizhi Moodi,Karthik,Ayan,66,5.537766666666666
Sajni,Arijit Singh,Laapataa Ladies,66,2.8340666666666667
Aale Saachuputta Kannala,Anirudh Ravichander,Vil Ambu (Original Motion Picture Soundtrack),43,4.4534
High on Love,Sid Sriram,Pyaar Prema Kaadhal (Original Motion Picture Soundtrack),66,4.002816666666667
Kaarkuzhal Kadavaiye,Sriram Parthasarathy,VadaChennai (Original Motion Picture Soundtrack),61,5.2063
"Thaensudare - From ""Lover""",Sean Roldan,Lover (Original Motion Picture Soundtrack),63,3.6083333333333334
"Manasilaayo (From ""Vettaiyan"")",Anirudh Ravichander,"Manasilaayo (From ""Vettaiyan"")",71,3.92715
"Hunter Vantaar (From ""Vettaiyan"")",Anirudh Ravichander,"Hunter Vantaar (From ""Vettaiyan"")",67,3.2105166666666665
Madras To Madurai,Hiphop Tamizha,Aambala (Original Motion Picture Soundtrack),57,4.3777333333333335
Rasaathi Nenja - Madras Gig Season 2,Yuvan Shankar Raja,Rasaathi Nenja (Madras Gig Season 2),43,4.784083333333333
"Chillanjirukkiye (From ""Lubber Pandhu"")",Sean Roldan,"Chillanjirukkiye (From ""Lubber Pandhu"")",72,4.124133333333333
"Angu Vaana Konilu - From ""ARM""",Dhibu Ninan Thomas,"Angu Vaana Konilu (From ""ARM"")",67,4.15
"Kiliye - From ""ARM""",Dhibu Ninan Thomas,"Kiliye (From ""ARM"")",68,4.52735
"Hey Minnale (From ""Amaran"") (Tamil)",G. V. Prakash,"Hey Minnale (From ""Amaran"") (Tamil)",70,3.8301833333333333
"Uyirey (From ""Amaran"") (Tamil)",G. V. Prakash,"Uyirey (From ""Amaran"") (Tamil)",60,3.5
"Kadalenum (From ""Kadhalar Dhinam"")",S. P. Balasubrahmanyam,Hits of A.R.Rahman and Harris Jayaraj,52,6.667316666666666
"Mazhai Thulli (From ""Sangamam"")",A.R. Rahman,Power Hits By A R Rahman (Original Motion Picture Soundtrack),0,6.846683333333333
Dhinam oru kavithai,Sriram Srinivasan,Dhinam oru kavithai,56,1.7
Ka Ka Ka Po,Santhosh Narayanan,Kadhalum Kadanthu Pogum (Original Motion Picture Soundtrack),35,3.7192166666666666
Edhathan Kandutte,Thaman S,Settai (Original Motion Picture Soundtrack),56,2.706
Entammede Jimikki Kammal,Shaan Rahman,Velipadinte Pusthakam (Original Motion Picture Soundtrack),59,3.36
Yenna Solla Pore,Devi Sri Prasad,Venghai (Original Motion Picture Soundtrack),62,4.40555
Otha Sollaala,G. V. Prakash,Aadukalam (Original Motion Picture Soundtrack),70,3.9831
Kaadhal Pannaen,S.N. Arunagiri,Goli Soda (Original Motion Picture Soundtrack),12,4.552
Nillayo,Haricharan,Oru Kadhal Megam,39,4.2114666666666665
Chella Kutti,G. V. Prakash,Theri (Original Motion Picture Soundtrack),54,4.843366666666666
"Chellamma (From ""Doctor"")",Anirudh Ravichander,"Chellamma (From ""Doctor"")",60,3.941666666666667
"Nenjame (From ""Doctor"")",Anirudh Ravichander,"Nenjame (From ""Doctor"")",58,4.275
Kutti Story,Anirudh Ravichander,Master (Original Motion Picture Soundtrack),59,5.008333333333334
Athithom,S. P. Balasubrahmanyam,Chandramukhi,58,4.589766666666667
Aval,Santhosh Narayanan,Manithan (Original Motion Picture Soundtrack),68,4.443983333333334
Aathangarai Maramea Adhil (Original Motion Picture Soundtrack),Mano,Kizhakku Cheemayile (Original Motion Picture Soundtrack),59,4.869766666666667
The Romance Of Power Paandi - Venpani Malare (Male),Sean Roldan,Power Paandi (Original Motion Picture Soundtrack),64,3.8888833333333332
"Kannaana Kanne (From ""Naanum Rowdy Dhaan"")",Anirudh Ravichander,Naanum Rowdy Dhaan (Original Motion Picture Soundtrack),51,4.455683333333333
Pogatha Yennavittu,Pradeep Kumar,Vikram Vedha (Original Motion Picture Soundtrack),60,4.690466666666667
Ippadiye,Rahul Nambiar,Poojai (Original Motion Picture Soundtrack),43,4.566966666666667
Uyire,Yuvan Shankar Raja,Poojai (Original Motion Picture Soundtrack),45,2.43345
Soda Bottle,Yazin,Poojai (Original Motion Picture Soundtrack),29,4.56735
Aaruyire,A.R. Rahman,Guru (Original Motion Picture Soundtrack),70,5.146433333333333
"Urugi Urugi - From ""Joe""",Siddhu Kumar,"Urugi Urugi (From ""Joe"")",68,3.7083333333333335
Balle Lakka,Yuvan Shankar Raja,Mankatha (Original Motion Picture Soundtrack),55,5.256433333333334
Bad Boy,Baba Sehgal,Alex Pandian,48,4.4509
Vethalaiya Potendi,Yuvan Shankar Raja,Billa (Original Motion Picture Soundtrack),58,4.368666666666667
Onnuku Renda,Senthil Ganesh,Vantha Rajavathaan Varuven,39,4.7363333333333335
"Teddy Bear - From ""Naiyaandi""",Ghibran,"Teddy Bear (From ""Naiyaandi"")",47,3.8409666666666666
Kozhi Veda Kozhi,Naveen,Something Something Unakkum Enakkum,54,4.931333333333333
Iraivaa,Leon James,Dragon (Original Motion Picture Soundtrack),59,3.321833333333333
Idhayam Love (Megamo Aval),Santhosh Narayanan,Meyaadha Maan (Original Motion Picture Soundtrack),60,4.852016666666667
"Yaar Azhaippadhu - From ""Maara""",Ghibran,"Yaar Azhaippadhu (From ""Maara"")",56,4.172083333333333
Chellakuttiye - Avastha Love Song,Jecin George,Chellakuttiye (Avastha Love Song),24,3.75975
Amizhdhe Nee,Karthik,Hi Nanna (TAMIL),52,3.5034666666666667
"Yendi Vittu Pona - From ""Dragon""",Leon James,"Yendi Vittu Pona (From ""Dragon"")",65,4.310333333333333
