Track Name,Artist,Album,Popularity,Duration (minutes)
"Yaaradiyo - From ""Gorilla""",Sam C.S.,"Yaaradiyo (From ""Gorilla"")",55,3.80975
Tamilselvi,Anirudh Ravichander,Remo (Original Motion Picture Soundtrack),60,3.8398
Venmegam,Yuvan Shankar Raja,Yaaradi Nee Mohini (Original Motion Picture Soundtrack),69,4.580883333333333
Kaadhal Endral,Yuvan Shankar Raja,Goa (Original Motion Picture Soundtrack),60,1.4522166666666667
"Thimiru Kaattaadha Di - From ""LKG""",Leon James,"Thimiru Kaattaadha Di (From ""LKG"")",56,3.9894666666666665
Munbe Vaa,Joshua Aaron,Munbe Vaa,50,2.491
Kadhal Oru Aagayam,Hiphop Tamizha,Imaikkaa Nodigal (Original Motion Picture Soundtrack),67,2.6960333333333333
DADA Song,Sathya Narayanan,DADA (Original Motion Picture Soundtrack),0,5.11
The Life of Ram,Govind Vasantha,96 (Original Motion Picture Soundtrack),65,5.90475
Veera Soora,Yuvan Shankar Raja,"Veera Soora (From ""Naane Varuvean"")",49,3.4190833333333335
Edhirthu Nill,Yuvan Shankar Raja,Biriyani (Original Motion Picture Soundtrack),54,4.355766666666667
Morattu Single,Hiphop Tamizha,Natpe Thunai (Original Motion Picture Soundtrack),55,3.11185
Konjam - 2,Armaan Malik,M.S.Dhoni - The Untold Story,44,3.6532333333333336
Edhirthu Nill,Yuvan Shankar Raja,Biriyani (Original Motion Picture Soundtrack),54,4.355766666666667
Jailer Theme - Instrumental,Anirudh Ravichander,Jailer (Original Motion Picture Soundtrack),51,1.03895
"Jujubee (From ""Jailer"")",Anirudh Ravichander,"Jujubee (From ""Jailer"")",51,2.7878666666666665
Ella Pugazhum,A.R. Rahman,Azagiya Tamilmagan (Soundtrack from the Motion Picture),57,5.5251
Azhagiye,A.R. Rahman,Kaatru Veliyidai (Original Motion Picture Soundtrack),60,3.744283333333333
Marudaani,A.R. Rahman,Sakkarakatti (Original Motion Picture Soundtrack),68,6.453333333333333
Local Boys,Anirudh Ravichander,Ethir Neechal (Original Motion Picture Soundtrack),60,4.573766666666667
Vaadi Vaadi,Vijay,Sachien,0,5.290483333333333
Peela Peela,Anirudh Ravichander,Thaanaa Serndha Koottam (Original Motion Picture Soundtrack),41,3.7336833333333335
Marudaani - Rendition,Sanah Moidutty,Marudaani (Rendition),60,2.9687333333333332
"En Veetula - From ""Idharkuthaane Aasaipattai Balakumara""",Gana Bala,Hits of Gaana Bala,51,4.16
